organ,col name,mean,min,max,std,range
Aorta,V1.0 dosevol,75.32674050632912,0.0,172.4375,37.837544113502176,172.4375
Aorta,V2.0 dosevol,57.49663765822785,0.0,153.59375,37.50594116769291,153.59375
Aorta,V5.0 dosevol,27.18024789029536,0.0,116.421875,26.323064029765177,116.421875
BronchialTree,V1.0 dosevol,19.788996848739497,0.0,57.375,13.990169833354523,57.375
BronchialTree,V2.0 dosevol,14.508075105042018,0.0,51.046875,12.969576914024202,51.046875
BronchialTree,V5.0 dosevol,6.991859243697479,0.0,37.859375,9.718784415924716,37.859375
Bronchus,V1.0 dosevol,0.7375,0.0,2.40625,0.9261992507464759,2.40625
Bronchus,V2.0 dosevol,0.0,0.0,0.0,0.0,0.0
Bronchus,V5.0 dosevol,0.0,0.0,0.0,0.0,0.0
CW,V1.0 dosevol,466.664375,211.234375,790.75,125.40358734796357,579.515625
CW,V2.0 dosevol,397.9288125,165.828125,674.359375,108.04727503902443,508.53125
CW,V5.0 dosevol,293.5835625,122.859375,524.46875,89.57235783904984,401.609375
Esophagus,V1.0 dosevol,11.800875,1.75,34.71875,5.217581236510683,32.96875
Esophagus,V2.0 dosevol,9.0381875,0.0,24.90625,4.511663947503966,24.90625
Esophagus,V5.0 dosevol,3.7896875,0.0,14.3125,3.3734962700613322,14.3125
Heart,V1.0 dosevol,266.7024375,0.0,816.59375,226.75983931976018,816.59375
Heart,V2.0 dosevol,174.302125,0.0,555.65625,170.14594740739793,555.65625
Heart,V5.0 dosevol,66.357125,0.0,297.890625,84.45237821804805,297.890625
LN,V1.0 dosevol,116.64225,11.078125,240.484375,49.822251977464084,229.40625
LN,V2.0 dosevol,94.7518125,3.65625,197.421875,46.706779705528284,193.765625
LN,V5.0 dosevol,44.4611875,0.0,129.59375,37.20921110494673,129.59375
Lungs,V1.0 dosevol,1381.901375,486.890625,3518.921875,596.8640284246381,3032.03125
Lungs,V2.0 dosevol,983.525,327.625,2242.359375,408.9292319345662,1914.734375
Lungs,V5.0 dosevol,588.3855625,173.6875,1199.609375,214.87359072782738,1025.921875
PulmonaryArtery,V1.0 dosevol,32.93367479253112,0.0,114.859375,32.44944204164853,114.859375
PulmonaryArtery,V2.0 dosevol,24.390235995850624,0.0,93.171875,26.12097296285938,93.171875
PulmonaryArtery,V5.0 dosevol,10.788446576763485,0.0,55.84375,15.967349494307784,55.84375
SpinalCanal,V1.0 dosevol,12.420663265306123,0.0,28.703125,5.402179490487255,28.703125
SpinalCanal,V2.0 dosevol,8.145216836734694,0.0,24.890625,5.489580574676957,24.890625
SpinalCanal,V5.0 dosevol,3.4568239795918365,0.0,15.140625,3.704397449547651,15.140625
TSpine,V1.0 dosevol,83.075,10.9375,197.046875,36.578572791747554,186.109375
TSpine,V2.0 dosevol,55.097625,0.25,163.59375,35.90109392516954,163.34375
TSpine,V5.0 dosevol,24.1985,0.0,132.90625,29.312779001410238,132.90625
Trachea,V1.0 dosevol,10.172955069124423,0.0,39.25,10.51305233245344,39.25
Trachea,V2.0 dosevol,7.948300691244239,0.0,34.0625,9.494741687472505,34.0625
Trachea,V5.0 dosevol,3.137384792626728,0.0,26.390625,6.0053573679087116,26.390625
VC,V1.0 dosevol,9.437239583333334,0.0,26.03125,6.882947569436722,26.03125
VC,V2.0 dosevol,6.36640625,0.0,19.640625,5.672553615016145,19.640625
VC,V5.0 dosevol,3.0279296875,0.0,18.046875,4.349683945702432,18.046875
